Date,Open,High,Low,Close,Adj Close,Volume
,,,,,,14033600
,,,,,,26902400
,,,,,,36097600
,,,,,,31768800
,,,,,,34020000
,,,,,,21806400
,,,,,,30436000
,,,,,,32608800
,,,,,,57635200
,,,,,,52964800
,,,,,,49296800
,,,,,,38136000
,,,,,,30139200
,,,,,,59791200
,,,,,,147369600
,,,,,,127741600
,,,,,,61639200
,,,,,,78730400
,,,,,,92355200
,,,,,,144004000
,,,,,,100480800
,,,,,,71601600
,,,,,,67799200
,,,,,,118809600
,,,,,,79032800
,,,,,,75180000
,,,,,,61997600
,,,,,,94880800
,,,,,,141416800
,,,,,,59085600
,,,,,,66304000
,,,,,,42996800
,,,,,,47700800
,,,,,,41535200
,,,,,,51441600
,,,,,,73477600
,,,,,,33051200
,,,,,,48115200
,,,,,,33936000
,,,,,,25860800
,,,,,,19432000
,,,,,,17124800
,,,,,,9144800
,,,,,,23055200
,,,,,,36976800
,,,,,,26510400
,,,,,,16223200
,,,,,,11760000
,,,,,,19420800
,,,,,,35840000
,,,,,,29545600
,,,,,,44766400
,,,,,,28728000
,,,,,,48076000
,,,,,,42173600
,,,,,,42179200
,,,,,,78769600
,,,,,,32631200
,,,,,,19437600
,,,,,,22366400
,,,,,,20126400
,,,,,,12891200
,,,,,,24354400
,,,,,,23083200
,,,,,,15769600
,,,,,,37934400
,,,,,,36943200
,,,,,,15237600
,,,,,,13748000
,,,,,,10595200
,,,,,,72475200
,,,,,,26297600
,,,,,,20938400
,,,,,,11967200
,,,,,,16738400
,,,,,,19252800
,,,,,,30828000
,,,,,,11004000
,,,,,,8915200
,,,,,,10729600
,,,,,,10236800
,,,,,,14028000
,,,,,,10718400
,,,,,,9363200
,,,,,,11888800
,,,,,,8204000
,,,,,,23200800
,,,,,,33079200
,,,,,,30441600
,,,,,,21772800
,,,,,,27792800
,,,,,,17634400
,,,,,,9245600
,,,,,,45936800
,,,,,,30021600
,,,,,,46580800
,,,,,,33807200
,,,,,,29646400
,,,,,,22024800
,,,,,,26124000
,,,,,,13372800
,,,,,,9161600
,,,,,,22086400
,,,,,,5376000
,,,,,,12230400
,,,,,,17382400
,,,,,,22982400
,,,,,,21744800
,,,,,,20703200
,,,,,,65436000
,,,,,,29573600
,,,,,,38796800
,,,,,,73472000
,,,,,,72111200
,,,,,,87046400
,,,,,,57607200
,,,,,,29719200
,,,,,,106136800
,,,,,,37094400
,,,,,,68157600
,,,,,,15820000
,,,,,,14868000
,,,,,,32720800
,,,,,,56644000
,,,,,,38768800
,,,,,,23139200
,,,,,,38931200
,,,,,,26885600
,,,,,,50114400
,,,,,,79284800
,,,,,,73528000
,,,,,,44693600
,,,,,,43411200
,,,,,,25390400
,,,,,,34876800
,,,,,,20395200
,,,,,,16139200
,,,,,,23581600
,,,,,,24768800
,,,,,,25737600
,,,,,,32188800
,,,,,,24298400
,,,,,,41115200
,,,,,,47930400
,,,,,,24757600
,,,,,,25048800
,,,,,,38768800
,,,,,,41277600
,,,,,,31287200
,,,,,,16363200
,,,,,,34966400
,,,,,,50226400
,,,,,,59404800
,,,,,,31315200
,,,,,,62787200
,,,,,,72228800
,,,,,,27266400
,,,,,,139949600
,,,,,,67530400
,,,,,,51508800
,,,,,,35806400
,,,,,,16150400
,,,,,,11463200
,,,,,,30721600
,,,,,,26919200
,,,,,,21812000
,,,,,,29355200
,,,,,,60541600
,,,,,,46261600
,,,,,,117633600
,,,,,,151900000
,,,,,,111809600
,,,,,,38309600
,,,,,,53855200
,,,,,,68174400
,,,,,,105868000
,,,,,,133694400
,,,,,,86346400
,,,,,,31852800
,,,,,,37990400
,,,,,,35750400
,,,,,,39104800
,,,,,,27994400
,,,,,,97395200
,,,,,,55574400
,,,,,,147392000
,,,,,,59220000
,,,,,,36926400
,,,,,,87505600
,,,,,,65044000
,,,,,,49291200
,,,,,,33555200
,,,,,,32351200
,,,,,,27960800
,,,,,,38365600
,,,,,,33264000
,,,,,,27344800
,,,,,,34378400
,,,,,,37027200
,,,,,,89919200
,,,,,,34479200
